,統一編號,公司名稱,負責人,登記地址,資本額,營業項目及代碼表,縣市名稱,區域名稱,縣市區域,類別_全,官網,電話
332298,12654898,特威國際企業股份有限公司,廖O風,臺北市大同區承德路3段58號8樓之1,10000000,"['五金批發業', '水器材料批發業', '基本化學材料批發業', '石油化工原料批發業', '高壓氣體批發業', '圖書批發業', '文具批發業', '運動器材批發業', '木材批發業', '機械批發業', '電器批發業', '精密儀器批發業', '事務性機器設備批發業', '電信器材批發業', '污染防治設備批發業', '航空器及其零件批發業', '消防安全設備批發業', '資訊軟體批發業', '電子材料批發業', '家具批發業', '廚房器具批發業', '投資顧問業', '企業經營管理顧問業', '幼教事業管理顧問業', '資訊軟體服務業', '電子資訊供應服務業', '電信業務門號代辦業', '水處理工程業', '廢棄物清理設備安裝工程業', '空氣污染防制工程業', '噪音及振動防制工程業', '電器安裝業', '消防安全設備安裝工程業', '自動控制設備工程業', '照明設備安裝工程業', '機械安裝業', '電腦設備安裝業', '通信工程業', '電信管制射頻器材裝設工程業', '儀表安裝工程業', '國際貿易業', '精密儀器零售業', '電腦及事務性機器設備零售業', '航空器及其零件零售業', '資訊軟體零售業', '電子材料零售業']",臺北市,大同區,台北市大同區,"['五金批發業', '水器材料批發業', '基本化學材料批發業', '石油化工原料批發業', '高壓氣體批發業', '圖書批發業', '文具批發業', '運動器材批發業', '木材批發業', '機械批發業', '電器批發業', '精密儀器批發業', '事務性機器設備批發業', '電信器材批發業', '污染防治設備批發業', '航空器及其零件批發業', '消防安全設備批發業', '資訊軟體批發業', '電子材料批發業', '家具批發業', '廚房器具批發業', '投資顧問業', '企業經營管理顧問業', '幼教事業管理顧問業', '資訊軟體服務業', '電子資訊供應服務業', '電信業務門號代辦業', '水處理工程業', '廢棄物清理設備安裝工程業', '空氣污染防制工程業', '噪音及振動防制工程業', '電器安裝業', '消防安全設備安裝工程業', '自動控制設備工程業', '照明設備安裝工程業', '機械安裝業', '電腦設備安裝業', '通信工程業', '電信管制射頻器材裝設工程業', '儀表安裝工程業', '國際貿易業', '精密儀器零售業', '電腦及事務性機器設備零售業', '航空器及其零件零售業', '資訊軟體零售業', '電子材料零售業']",,
1441369,78581566,竣裕水電材料行,,新北市樹林區３福街?0２７巷９之２號３樓,,電器批發業,新北市,樹林區,新北市樹林區,電器批發業,,
966955,24929160,羽希國際企業有限公司,鮑首慈,新北市汐止區大安街52巷8號5樓,1000000,"一般廣告服務業, 五金批發業, 其他工商服務業, 其他綜合零售, 化粧品零售業, 國際貿易業, 布疋、衣著、鞋、帽、傘、服飾品零售業, 廣告傳單分送業, 文教、樂器、育樂用品零售業, 日常用品批發業, 日常用品零售業, 智慧財產權業, 水產品批發業, 水產品零售業, 汽車零售業, 無店面零售業, 產品設計業, 第三方支付服務業, 菸酒批發業, 菸酒零售業, 資料處理服務, 資訊軟體服務, 農產品零售業, 電器批發業, 食品什貨、飲料零售業, 食品什貨批發業, 飲料批發業",新北市,汐止區,臺北市大安區,"一般廣告服務業, 五金批發業, 其他工商服務業, 其他綜合零售, 化粧品零售業, 國際貿易業, 布疋、衣著、鞋、帽、傘、服飾品零售業, 廣告傳單分送業, 文教、樂器、育樂用品零售業, 日常用品批發業, 日常用品零售業, 智慧財產權業, 水產品批發業, 水產品零售業, 汽車零售業, 無店面零售業, 產品設計業, 第三方支付服務業, 菸酒批發業, 菸酒零售業, 資料處理服務, 資訊軟體服務, 農產品零售業, 電器批發業, 食品什貨、飲料零售業, 食品什貨批發業, 飲料批發業",,
576953,86390344,建琨實業有限公司,馮O清,臺南市安南區同安路36巷31號1樓,4300000,,臺南市,安南區,台南市安南區,"批發及零售業,批發業,家用器具及用品批發業,家用電器批發業,家電材料批發",,
1218312,90603474,勝耀電子股份有限公司,周O勇,臺北市大同區延平北路2段88號5樓之1,50000000,"國際貿易業, 智慧財產權業, 資訊軟體服務, 電器批發業, 電器零售業",臺北市,大同區,臺北市北投區,"國際貿易業, 智慧財產權業, 資訊軟體服務, 電器批發業, 電器零售業",,
415473,05804962,誠正企業社,鍾月娥,台中市大甲區新美里光明路119巷7號1樓,3000.0,獎牌•獎杯•銘版•贈品,台中市,大甲區,台中市大甲區,獎牌•獎杯•銘版•贈品,,
1120289,82768830,賓馳汽車有限公司,陳O伃,新竹縣竹北市泰和里環北路二段167號,1000000,"汽車零售業,機車零件配備零售業,國際貿易業",新竹縣,竹北市,新竹縣竹北市,"汽車零售業,機車零件配備零售業,國際貿易業",,
528201,25740116,益通商行,蔡孟茹,嘉義縣中埔鄉隆興村中正路682號一樓,200000.0,"菸酒批發業,食品什貨批發業,菸酒零售業,飲料零售業,煙火零售業",嘉義縣,中埔鄉,嘉義縣中埔鄉,"菸酒批發業,食品什貨批發業,菸酒零售業,飲料零售業,煙火零售業",,
701981,83570435,丞逸國際有限公司,吳泓逸,嘉義市西區竹圍里興達路448號11樓之1,5000000,"['化粧品批發業', '化粧品零售業', '食品什貨批發業', '飲料零售業', '育樂用品批發業', '育樂用品零售業', '無店面零售業', '國際貿易業', '管理顧問業', '休閒活動場館業', '競技及休閒運動場館業', '運動訓練業', '一般廣告服務業', '人力派遣業', '停車場經營業', '日常用品批發業', '日常用品零售業', '清潔用品批發業', '清潔用品零售業', '寵物食品及其用品批發業', '寵物食品及其用品零售業', '醫療器材批發業', '醫療器材零售業', '動物用藥品批發業', '動物用藥零售業', '食品添加物批發業', '食品添加物零售業', '乙類成藥零售業', '電子資訊供應服務業', '第三方支付服務業', '茶葉批發業', '服飾品零售業', '裝設品零售業', '鐘錶零售業', '眼鏡零售業']",嘉義市,西區,嘉義市西區,"['化粧品批發業', '化粧品零售業', '食品什貨批發業', '飲料零售業', '育樂用品批發業', '育樂用品零售業', '無店面零售業', '國際貿易業', '管理顧問業', '休閒活動場館業', '競技及休閒運動場館業', '運動訓練業', '一般廣告服務業', '人力派遣業', '停車場經營業', '日常用品批發業', '日常用品零售業', '清潔用品批發業', '清潔用品零售業', '寵物食品及其用品批發業', '寵物食品及其用品零售業', '醫療器材批發業', '醫療器材零售業', '動物用藥品批發業', '動物用藥零售業', '食品添加物批發業', '食品添加物零售業', '乙類成藥零售業', '電子資訊供應服務業', '第三方支付服務業', '茶葉批發業', '服飾品零售業', '裝設品零售業', '鐘錶零售業', '眼鏡零售業']",,
142052,90515423,佳香品味有限公司,黃O泳,高雄市岡山區中山北路130號,5000000,"布疋、衣著、鞋、帽、傘、服飾品零售業, 無店面零售業, 菸酒零售業, 食品什貨、飲料零售業, 飲料店業, 餐廳餐館",高雄市,岡山區,高雄市岡山區,"布疋、衣著、鞋、帽、傘、服飾品零售業, 無店面零售業, 菸酒零售業, 食品什貨、飲料零售業, 飲料店業, 餐廳餐館",,
1207782,90088189,立程土木包工業有限公司,紀O宇,臺中市沙鹿區公明里忠貞路163號1樓,2000000,"園藝服務業, 室內裝潢, 建材批發業, 環保服務",臺中市,沙鹿區,臺中市沙鹿區,"園藝服務業, 室內裝潢, 建材批發業, 環保服務",,
1292827,14611761,星巴克廣告,,南投縣埔里鎮同聲里同聲路六之十四號（限一樓使用且現場不得堆棧）,,般廣告服務業,南投縣,埔里,南投縣埔里,般廣告服務業,,
61427,82901252,達酷美有限公司,吳O玲,臺北市中山區敬業一路128巷26號2樓,1000000,"五金零售業, 其他服務, 化粧品零售業, 國際貿易業, 布疋、衣著、鞋、帽、傘、服飾品零售業, 建材批發業, 建材零售業, 日常用品零售業, 汽、機車零件配備零售業, 無店面零售業, 農產品零售業, 電器批發業, 電器零售業, 食品什貨、飲料零售業",臺北市,中山區,臺北市北投區,"五金零售業, 其他服務, 化粧品零售業, 國際貿易業, 布疋、衣著、鞋、帽、傘、服飾品零售業, 建材批發業, 建材零售業, 日常用品零售業, 汽、機車零件配備零售業, 無店面零售業, 農產品零售業, 電器批發業, 電器零售業, 食品什貨、飲料零售業",,
1396193,53327342,科展國際生技有限公司,邱O博,新北市三重區自強路4段41號3樓之1,10000000,"五金批發業, 五金零售業, 其他工商服務業, 化粧品零售業, 國際貿易業, 寵物食品及其用品批發業, 寵物食品及其用品零售業, 日常用品批發業, 日常用品零售業, 汽、機車零件配備零售業, 食品什貨、飲料零售業, 食品什貨批發業, 飼料批發業, 飼料零售業",新北市,三重區,新北市三重區,"五金批發業, 五金零售業, 其他工商服務業, 化粧品零售業, 國際貿易業, 寵物食品及其用品批發業, 寵物食品及其用品零售業, 日常用品批發業, 日常用品零售業, 汽、機車零件配備零售業, 食品什貨、飲料零售業, 食品什貨批發業, 飼料批發業, 飼料零售業",,
605242,97155562,美欣室內裝修工程有限公司,蔡家榞,高雄市三民區光裕路45號1樓,5000000,"室內裝修業,室內裝潢業,室內輕鋼架工程業,照明設備安裝工程業,門窗安裝工程業,衛浴設備安裝工程業,油漆工程業,玻璃安裝工程業,儀表安裝工程業,裝設品批發業,日常用品批發業,其他批發業,五金批發業,建材批發業,精密儀器批發業,電腦及事務性機器設備批發業,電信器材批發業,家具及裝設品製造業,建築物清潔服務業,會議及展覽服務業,藝文服務業,其他設計業,室內設計業,一般廣告服務業,產品設計業,其他工商服務業,人力派遣業,管理顧問業,其他顧問服務業,國際貿易業,園藝服務業,鋼材二次加工業,金屬結構及建築組件製造業,其他金屬製品製造業,表面處理業,組合木材製造業,藤製品製造業,其他木製品製造業,印刷業,製版業,印刷品裝訂及加工業,耐火材料製造業,石材製品製造業,其他非金屬礦物製品製造業,電器安裝業,配管工程業,電腦設備安裝業,機械安裝業,電纜安裝工程業,電梯安裝工程業,消防安全設備安裝工程業,自動控制設備工程業,電焊工程業,用電設備檢驗維護業,太陽熱能設備安裝工程業,防銹工程業,起重工程業,保冷安裝工程業,其他工程業,電器批發業,耐火材料批發業,水器材料批發業,陶瓷玻璃器皿批發業,塗料零售業,建材零售業,裝設品零售業,五金零售業,電器零售業,精密儀器零售業,廢棄物清除業,廢棄物處理業,環境檢測服務業,水處理業,資源回收業,廢棄物清理業,營建剩餘土石方資源處理業,營建混合物分類處理業,其他環境衛生及污染防治服務業,產業育成業,電器及電子產品修理業,其他修理業,投資顧問業,建築物公共安全檢查業,智慧財產權業,倉儲業",高雄市,三民區,高雄市三民區,"室內裝修業,室內裝潢業,室內輕鋼架工程業,照明設備安裝工程業,門窗安裝工程業,衛浴設備安裝工程業,油漆工程業,玻璃安裝工程業,儀表安裝工程業,裝設品批發業,日常用品批發業,其他批發業,五金批發業,建材批發業,精密儀器批發業,電腦及事務性機器設備批發業,電信器材批發業,家具及裝設品製造業,建築物清潔服務業,會議及展覽服務業,藝文服務業,其他設計業,室內設計業,一般廣告服務業,產品設計業,其他工商服務業,人力派遣業,管理顧問業,其他顧問服務業,國際貿易業,園藝服務業,鋼材二次加工業,金屬結構及建築組件製造業,其他金屬製品製造業,表面處理業,組合木材製造業,藤製品製造業,其他木製品製造業,印刷業,製版業,印刷品裝訂及加工業,耐火材料製造業,石材製品製造業,其他非金屬礦物製品製造業,電器安裝業,配管工程業,電腦設備安裝業,機械安裝業,電纜安裝工程業,電梯安裝工程業,消防安全設備安裝工程業,自動控制設備工程業,電焊工程業,用電設備檢驗維護業,太陽熱能設備安裝工程業,防銹工程業,起重工程業,保冷安裝工程業,其他工程業,電器批發業,耐火材料批發業,水器材料批發業,陶瓷玻璃器皿批發業,塗料零售業,建材零售業,裝設品零售業,五金零售業,電器零售業,精密儀器零售業,廢棄物清除業,廢棄物處理業,環境檢測服務業,水處理業,資源回收業,廢棄物清理業,營建剩餘土石方資源處理業,營建混合物分類處理業,其他環境衛生及污染防治服務業,產業育成業,電器及電子產品修理業,其他修理業,投資顧問業,建築物公共安全檢查業,智慧財產權業,倉儲業",,
180325,90256208,致凱資產管理股份有限公司,黃洲富,新竹市東區高翠路160巷160號4樓,50000000.0,"一般投資業,投資顧問業,管理顧問業",新竹市,東區,新竹市東區,"一般投資業,投資顧問業,管理顧問業",,
420790,26452318,鐘家碳燒薑母鴨,許詠捷,臺南市下營區下營里自由街13、15號1樓,3000.0,"['餐館業', '飲料零售業']",臺南市,下營區,台南市下營區,"['餐館業', '飲料零售業']",,
1122130,26212211,智富汽車保養所,曾志宏,臺北市大安區市民大道4段240號,200000.0,"汽車修理業,石油製品零售業,汽車零售業,汽,車胎零售業,電器零售業,電池零售業,石油製品批發業,汽,車胎批發業,國際貿易業,除許可業務外",臺北市,大安區,台北市大安區,"汽車修理業,石油製品零售業,汽車零售業,汽,車胎零售業,電器零售業,電池零售業,石油製品批發業,汽,車胎批發業,國際貿易業,除許可業務外","https://0227119501.tw66.com.tw
",02-27119501
7770,28529094,旭晟環保有限公司,王文國,嘉義市東區豐年里興業東路161號1樓,10000000,"建築物清潔服務業,廢棄物清除業,廢棄物處理業,廢棄物資源回收業,廢棄物清理業,其他環境衛生及污染防治服務業,油漆工程業,園藝服務業,室內設計業,人力派遣業",嘉義市,東區,嘉義市東區,"建築物清潔服務業,廢棄物清除業,廢棄物處理業,廢棄物資源回收業,廢棄物清理業,其他環境衛生及污染防治服務業,油漆工程業,園藝服務業,室內設計業,人力派遣業",,
488678,28790032,乙香房實業股份有限公司,蔡O峰,新北市新莊區思源路110號(1樓),76000000,"不動產租賃業,租賃業,住宅及大樓開發租售業,化粧品製造業,化粧品批發業,化粧品零售業,清潔用品製造業,清潔用品批發業,清潔用品零售業,瘦身美容業,美容美髮服務業,紙製造業,紙容器製造業,其他化學製品製造業,塑膠日用品製造業,電腦設備安裝業,室內裝潢業,油漆工程業,五金批發業,日常用品批發業,育樂用品批發業,建材批發業,機械批發業,電信器材批發業,五金零售業,日常用品零售業,機械器具零售業,國際貿易業,管理顧問業,其他顧問服務業,資訊軟體服務業,室內設計業,其他工商服務業,無店面零售業,飲料批發業,茶葉批發業,食品什貨批發業,飲料零售業,家庭及衛生用紙製造業,醫療器材批發業,醫療器材零售業,酒精批發業,酒精零售業",新北市,新莊區,新北市新莊區,"不動產租賃業,租賃業,住宅及大樓開發租售業,化粧品製造業,化粧品批發業,化粧品零售業,清潔用品製造業,清潔用品批發業,清潔用品零售業,瘦身美容業,美容美髮服務業,紙製造業,紙容器製造業,其他化學製品製造業,塑膠日用品製造業,電腦設備安裝業,室內裝潢業,油漆工程業,五金批發業,日常用品批發業,育樂用品批發業,建材批發業,機械批發業,電信器材批發業,五金零售業,日常用品零售業,機械器具零售業,國際貿易業,管理顧問業,其他顧問服務業,資訊軟體服務業,室內設計業,其他工商服務業,無店面零售業,飲料批發業,茶葉批發業,食品什貨批發業,飲料零售業,家庭及衛生用紙製造業,醫療器材批發業,醫療器材零售業,酒精批發業,酒精零售業","https://1500001114206.web66.com.tw
",02-85313330#813
177915,13157573,自翔機械工程有限公司,陳瑞成,高雄市鳳山區保泰路270巷5號1樓,2000000.0,"機械安裝業,配管工程業",高雄市,鳳山區,高雄市鳳山區,"機械安裝業,配管工程業",,
367628,25518798,宏雅服裝行,許光明,台北市信義區虎林街60巷20號1樓,220000.0,"布疋,布疋",台北市,信義區,台北市信義區,"布疋,布疋",,
44281,85011957,台灣沖繩長生藥草股份有限公司,鄭O森,臺北市中正區忠孝東路2段130號11樓之6,5000000,"五金批發業, 國際貿易業, 日常用品批發業, 日常用品零售業, 機械批發業, 茶葉批發業, 農產品零售業, 電器批發業, 食品什貨、飲料零售業, 食品什貨批發業, 飲料批發業",臺北市,中正區,新北市板橋區,"五金批發業, 國際貿易業, 日常用品批發業, 日常用品零售業, 機械批發業, 茶葉批發業, 農產品零售業, 電器批發業, 食品什貨、飲料零售業, 食品什貨批發業, 飲料批發業",,
911127,94042073,愛沙尼亞商現代魔法師有限公司,蕭晊莛JrtingShiau,臺北市信義區松德路6號8樓,500000,"資訊軟體服務業,資料處理服務業,電子資訊供應服務業,其他顧問服務業,其他設計業",臺北市,信義區,台北市信義區,"資訊軟體服務業,資料處理服務業,電子資訊供應服務業,其他顧問服務業,其他設計業",,
1344776,28801191,揚鼎國際開發有限公司,楊O緯,臺北市松山區復興北路35號9樓,30000000,"一般廣告服務業, 不動產代銷經紀業, 化粧品零售業, 國際貿易業, 室內裝潢, 布疋、衣著、鞋、帽、傘、服飾品零售業, 廣告傳單分送業, 文教、樂器、育樂用品零售業, 日常用品批發業, 日常用品零售業, 百貨公司業, 食品什貨、飲料零售業, 食品什貨批發業",臺北市,松山區,臺北市松山區,"一般廣告服務業, 不動產代銷經紀業, 化粧品零售業, 國際貿易業, 室內裝潢, 布疋、衣著、鞋、帽、傘、服飾品零售業, 廣告傳單分送業, 文教、樂器、育樂用品零售業, 日常用品批發業, 日常用品零售業, 百貨公司業, 食品什貨、飲料零售業, 食品什貨批發業",,
65750,81432767,柯家黑金豆干店,吳淑瓊,臺南市柳營區人和里柳營路3段227號1樓,,"其他餐飲, 無店面零售業, 資訊軟體服務, 食品什貨、飲料零售業",臺南市,柳營區,臺南市柳營區,"其他餐飲, 無店面零售業, 資訊軟體服務, 食品什貨、飲料零售業",,
1483200,97350397,承金營造有限公司,黃O展,彰化縣鹿港鎮東石里崇文路120巷1號1樓,40000000,"園藝服務業, 建材批發業, 建築物清潔服務業, 環保服務",彰化縣,鹿港鎮,彰化縣鹿港鎮,"園藝服務業, 建材批發業, 建築物清潔服務業, 環保服務",,
173793,36725008,續冊商號,黃美鳳,高雄市燕巢區中民路178號1樓,,布疋、衣著、鞋、帽、傘、服飾品零售業,高雄市,燕巢區,高雄市燕巢區,布疋、衣著、鞋、帽、傘、服飾品零售業,,
101735,93784843,小廢物文化娛樂有限公司,柯延婷,高雄市苓雅區林西街66號,100000,"一般廣告服務業, 五金零售業, 其他工商服務業, 其他服務, 其他綜合零售, 國際貿易業, 布疋、衣著、鞋、帽、傘、服飾品零售業, 排版業, 文教、樂器、育樂用品零售業, 日常用品零售業, 智慧財產權業, 無店面零售業, 理貨包裝業, 產品設計業, 百貨公司業, 資料處理服務, 電器零售業, 電子資訊供應服務業",高雄市,苓雅區,高雄市苓雅區,"一般廣告服務業, 五金零售業, 其他工商服務業, 其他服務, 其他綜合零售, 國際貿易業, 布疋、衣著、鞋、帽、傘、服飾品零售業, 排版業, 文教、樂器、育樂用品零售業, 日常用品零售業, 智慧財產權業, 無店面零售業, 理貨包裝業, 產品設計業, 百貨公司業, 資料處理服務, 電器零售業, 電子資訊供應服務業",,
884154,39704365,丁宗德美食行,翁豐政,雲林縣林內鄉林茂村中正路574號,5000.0,"其他餐飲業,飲料店業",雲林縣,林內鄉,雲林縣林內鄉,"其他餐飲業,飲料店業",,
118312,54724235,晶海實業有限公司,王O德,新北市汐止區建成里建成路78號10樓,200000,"['裝設品批發業', '五金批發業', '水器材料批發業', '陶瓷玻璃器皿批發業', '清潔用品批發業', '機械批發業', '電器批發業', '裝設品零售業', '水器材料零售業', '清潔用品零售業', '電器零售業', '機械器具零售業', '國際貿易業', '電器承裝業', '電器安裝業', '自動控制設備工程業', '機械安裝業', '衛浴設備安裝工程業', '產品設計業', '餐具清洗業', '電器及電子產品修理業', '租賃業']",新北市,汐止區,新北市汐止區,"['裝設品批發業', '五金批發業', '水器材料批發業', '陶瓷玻璃器皿批發業', '清潔用品批發業', '機械批發業', '電器批發業', '裝設品零售業', '水器材料零售業', '清潔用品零售業', '電器零售業', '機械器具零售業', '國際貿易業', '電器承裝業', '電器安裝業', '自動控制設備工程業', '機械安裝業', '衛浴設備安裝工程業', '產品設計業', '餐具清洗業', '電器及電子產品修理業', '租賃業']",,
902764,23671439,喬貿報關有限公司,翁水德,高雄市苓雅區苓中里四維四路226號2樓之1,5000000.0,一報關業務之經營．,高雄市,苓雅區,高雄市苓雅區,一報關業務之經營．,,
354614,89189786,果果糕餅有限公司,吳幸怡,臺中市潭子區興華一路141巷58號2樓,200000,"飲料零售業,農產品零售業,食品什貨批發業,水產品批發業,其他批發業,國際貿易業,其他綜合零售業,其他餐飲業",臺中市,潭子區,台中市潭子區,"飲料零售業,農產品零售業,食品什貨批發業,水產品批發業,其他批發業,國際貿易業,其他綜合零售業,其他餐飲業",,
343819,28037979,永翔事務機器有限公司,黃鈺騰,台中市南區忠孝路78之3號,1000000.0,[],台中市,南區,台中市南區,[],,
601037,11825640,台芝電子股份有限公司,劉O灝,臺北市中山區龍江路43號5樓,165000000,"配電機械製造業,電子零組件製造業,其他電機及電子機械器材製造業,國際貿易業,不動產租賃業",臺北市,中山區,台北市中山區,"配電機械製造業,電子零組件製造業,其他電機及電子機械器材製造業,國際貿易業,不動產租賃業",,
6931,93076383,鑫誠工程行,張誠,新竹縣竹東鎮上舘里和江街156巷5號10樓,200000.0,"消防安全設備零售業,電器及電子產品修理業,照明設備安裝工程業,電纜安裝工程業,室內裝潢業,室內設計業,電信器材零售業,電信器材批發業,耐火材料零售業,耐火材料批發業,防銹工程業,消防安全設備批發業,其他工程業,人力派遣業,消防安全設備檢修業,消防安全設備安裝工程業,配管工程業,電器承裝業,電器安裝業,電器零售業,電器批發業",新竹縣,竹東鎮,新竹縣竹東鎮,"消防安全設備零售業,電器及電子產品修理業,照明設備安裝工程業,電纜安裝工程業,室內裝潢業,室內設計業,電信器材零售業,電信器材批發業,耐火材料零售業,耐火材料批發業,防銹工程業,消防安全設備批發業,其他工程業,人力派遣業,消防安全設備檢修業,消防安全設備安裝工程業,配管工程業,電器承裝業,電器安裝業,電器零售業,電器批發業",,
184764,24461360,碁石智庫股份有限公司,,臺北市大安區基隆路2段112號7樓,12000000,"一般廣告服務業, 人力派遣業, 其他工商服務業, 市場研究及民意調查業, 資料處理服務, 資訊軟體服務, 電子資訊供應服務業",臺北市,大安區,臺北市大安區,"一般廣告服務業, 人力派遣業, 其他工商服務業, 市場研究及民意調查業, 資料處理服務, 資訊軟體服務, 電子資訊供應服務業",,
1453331,81177837,昕農股份有限公司,吳O益,高雄市小港區港後路169巷2號,5000000,"五金批發業, 五金零售業, 仲介服務業, 倉儲業, 國際貿易業, 電器批發業, 電器零售業, 食品什貨、飲料零售業, 食品什貨批發業",高雄市,小港區,高雄市小港區,"五金批發業, 五金零售業, 仲介服務業, 倉儲業, 國際貿易業, 電器批發業, 電器零售業, 食品什貨、飲料零售業, 食品什貨批發業",,
673800,23173279,慶誌實業有限公司,蔡陳春玉,新北市三重區五華街1巷88號,1000000.0,[],新北市,三重區,新北市三重區,[],,
899623,14971913,迦密企業社,柯綺君,臺中市南區江川里永和街３０１巷８６號二樓,100000.0,"育樂用品零售業,祭祀用品零售業,圖書出版業,有聲出版業,茶葉批發業,畜產品零售業,飲料零售業",臺中市,南區,台中市南區,"育樂用品零售業,祭祀用品零售業,圖書出版業,有聲出版業,茶葉批發業,畜產品零售業,飲料零售業",,
447331,12831000,泰成消防安全設備有限公司,陳O泰,臺南市安平區民權路四段337號1樓,1000000,"['消防安全設備零售業', '消防安全設備安裝工程業', '消防安全設備檢修業', '木材批發業', '消防安全設備批發業', '門窗建材批發業', '建材零售業', '其他機械器具批發業', '其他機械器具零售業']",臺南市,安平區,台南市安平區,"['消防安全設備零售業', '消防安全設備安裝工程業', '消防安全設備檢修業', '木材批發業', '消防安全設備批發業', '門窗建材批發業', '建材零售業', '其他機械器具批發業', '其他機械器具零售業']","https://1204361762484.tw66.com.tw
",06-2507964
469029,38118205,萬豐商店,黃才菊,新北市新店區中正路335號,4000.0,日用什貨零售米麵粉什粮粮食購銷之零售業務。,新北市,新店區,新北市新店區,日用什貨零售米麵粉什粮粮食購銷之零售業務。,,
1071877,99508599,西華電子遊戲場業,林慧萍,台南市將軍區西華里64之1號1樓,50000.0,,台南市,將軍區,台南市將軍區,"藝術、娛樂及休閒服務業,運動、娛樂及休閒服務業,娛樂及休閒服務業,遊戲場,電動玩具店",,
